大分類,英名,色,概要
デスクトップ,Desktop,#E0912F,業務端末や開発端末で日常的に使うクライアント側のソフトウェア。
ビッグデータ,Big Data,#D4713F,大量データの収集・蓄積・処理・分析を担う基盤。
開発支援,Software Development,#7264BE,アプリケーション開発の言語・フレームワーク・ツールチェーン。
業務アプリケーション,Business Applications,#B99323,ERP・CRM・BIなど、業務そのものを担うアプリケーション。
AI,AI,#CE5E77,機械学習・深層学習から生成AI・AIエージェントまでの基盤。
Webサイト構築,Web Site,#5F7A69,CMS・EC・LMSなどWebサイトを構築するためのソフトウェア。
Web・AP サーバー,Web & AP Server,#3E8A54,HTTPリクエストを受け、アプリケーションを実行するサーバ層。
IoT,IoT,#7E8A2E,エッジデバイスとその通信・管理を担うソフトウェア。
運用管理,IT Operations,#8A7A62,監視・構成管理・ログ・トレーシングなどシステム運用の基盤。
"ファイルサーバ、メールサーバなど","File & Mail Server",#BC5A5A,DNS・メール・ファイル共有といったインターネット基盤サービス。
ブロックチェーン,Blockchain,#9C6373,分散台帳とスマートコントラクトの実行基盤。
"OS、仮想化、クラウド","OS, Virtualization & Cloud",#2F84BA,OSからコンテナ・仮想化・クラウド基盤までの実行環境。
セキュリティ,Security,#C55F35,認証・アクセス制御・暗号化・脆弱性管理などの防御機構。
データベース,Database,#2A6FCC,構造化・非構造化データを永続化する各種データベース。
