大分類,中分類,名称,URL,説明,ライセンス,リポジトリ,タグ,アイコン
デスクトップ,ユーティリティ,Anki,https://apps.ankiweb.net/,間隔反復アルゴリズムで暗記を支援するフラッシュカード学習ソフト。,,,,
デスクトップ,ユーティリティ,Calibre,https://calibre-ebook.com/,電子書籍の管理・変換・リーダー転送を一手に担う蔵書管理ツール。,,,,
デスクトップ,ユーティリティ,Gnuplot,http://www.gnuplot.info/,コマンド駆動で科学技術系のグラフを描画する定番プロットツール。,,,,
デスクトップ,ユーティリティ,Joplin,https://joplinapp.org/,Markdown対応でエンドツーエンド暗号化同期に対応したノートアプリ。,,,,
デスクトップ,ユーティリティ,LaTeX,https://texwiki.texjp.org/?LaTeX%E5%85%A5%E9%96%80,論文・書籍の組版に広く使われる高品質な文書組版システム。,,,,
デスクトップ,ユーティリティ,OmegaT,https://omegat.org/,翻訳メモリを用いて翻訳作業を効率化するCATツール。,,,,
デスクトップ,ユーティリティ,SAKURA Editor,https://sakura-editor.github.io/,日本語環境に強く軽快に動作する国産のテキストエディタ。,,,,
デスクトップ,ユーティリティ,Zettlr,https://github.com/Zettlr/Zettlr,Zettelkasten法と学術執筆に特化したMarkdownエディタ。,,https://github.com/Zettlr/Zettlr,,
デスクトップ,ユーティリティ,Logseq,https://github.com/logseq/logseq,アウトラインとリンクでメモをつなぐローカルファースト知識管理ツール。,,https://github.com/logseq/logseq,,
デスクトップ,デスクトップ環境,GNOME,https://www.gnome.org/,使いやすさと一貫性を重視した主要なLinuxデスクトップ環境。,,,,
デスクトップ,デスクトップ環境,KDE,https://kde.org/,高いカスタマイズ性を備えたLinuxデスクトップ環境（Plasma）。,,,,
デスクトップ,リモートデスクトップ,Apache Guacamole,https://guacamole.apache.org/,ブラウザだけでRDP／VNC／SSHに接続できるクライアントレス遠隔デスクトップ基盤。,,,,
デスクトップ,リモートデスクトップ,FreeRDP,https://www.freerdp.com/,RDPプロトコルを実装したリモートデスクトップクライアント／ライブラリ。,,,,
デスクトップ,リモートデスクトップ,RustDesk,https://rustdesk.com/,自前サーバで運用できるRust製のリモートデスクトップソフト。,,,,
デスクトップ,リモートデスクトップ,TigerVNC,https://tigervnc.org/,高性能を目指して開発されているVNC実装。,,,,
デスクトップ,リモートデスクトップ,Remmina,https://github.com/scibian/remmina,RDP・VNC・SSHなど複数プロトコルに対応したLinux向け接続クライアント。,,https://github.com/scibian/remmina,,
デスクトップ,メールクライアント,Evolution,https://wiki.gnome.org/Apps/Evolution,メール・予定表・連絡先を統合したGNOME標準のPIMクライアント。,,,,
デスクトップ,メールクライアント,Thunderbird,https://www.thunderbird.net/ja/,Mozillaが開発する定番のデスクトップメールクライアント。,,,,
デスクトップ,ウィンドウシステム,Wayland,https://wayland.freedesktop.org/,X11の後継として設計された、シンプルで安全なディスプレイサーバプロトコル。,,,,
デスクトップ,ウィンドウシステム,Xorg,https://www.x.org/,長年Linuxデスクトップを支えてきたX Window Systemの実装。,,,,
デスクトップ,オフィススイート,Collabora Online,https://collaboraonline.com/,LibreOffice互換の文書をブラウザ上で共同編集できるオフィス基盤。,,,,
デスクトップ,オフィススイート,LibreOffice,https://ja.libreoffice.org/,文書・表計算・プレゼンを網羅する代表的なオープンソースオフィススイート。,,,,
デスクトップ,オンライン会議,BigBlueButton,https://bigbluebutton.org/,オンライン授業向け機能を備えたWeb会議・仮想教室システム。,,,,
デスクトップ,オンライン会議,Jitsi meet,https://meet.jit.si/,アカウント登録なしで使える、ブラウザベースのビデオ会議システム。,,,,
デスクトップ,SSHクライアント,Parallel ssh,https://parallel-ssh.org/,多数のホストへSSHコマンドを並列実行する運用支援ツール。,,,,
デスクトップ,SSHクライアント,putty,https://www.putty.org/,Windowsで広く使われる軽量なSSH／Telnetクライアント。,,,,
デスクトップ,SSHクライアント,Teraterm,https://github.com/TeraTermProject/osdn-download,日本で長く使われているターミナルエミュレータ兼SSHクライアント。,,https://github.com/TeraTermProject/osdn-download,,
デスクトップ,SSHクライアント,Warpgate,https://github.com/warp-tech/warpgate,SSH／HTTP／MySQLへのアクセスを集約する踏み台（バスティオン）サーバ。,,https://github.com/warp-tech/warpgate,,
デスクトップ,パスワード管理,KeePassXC,https://keepassxc.org/,ローカルのデータベースに認証情報を保管するパスワード管理ツール。,,,,
デスクトップ,パスワード管理,Vaultwarden,https://github.com/dani-garcia/vaultwarden,Bitwarden互換APIを実装した軽量なセルフホスト型パスワード管理サーバ。,,https://github.com/dani-garcia/vaultwarden,,
デスクトップ,Webブラウザ,Chromium,https://www.chromium.org/,Google Chromeの基盤となるオープンソースのWebブラウザ。,,,,
デスクトップ,Webブラウザ,Firefox,https://www.mozilla.org/ja/firefox/new/,Mozillaが開発する、プライバシー保護を重視したWebブラウザ。,,,,
デスクトップ,マルチメディア,Audacity,https://www.audacityteam.org/,マルチトラック録音と波形編集に対応した音声編集ソフト。,,,,
デスクトップ,マルチメディア,Blender,https://www.blender.org/,モデリングからアニメーション、レンダリングまで担う統合3D制作スイート。,,,,
デスクトップ,マルチメディア,GIMP,https://www.gimp.org/,レイヤーやフィルタを備えた高機能な画像レタッチ・作成ツール。,,,,
デスクトップ,マルチメディア,HandBrake,https://handbrake.fr/,多様な入力形式に対応した動画トランスコーダ。,,,,
デスクトップ,マルチメディア,ImageMagick,https://imagemagick.org/,コマンドラインから画像の変換・加工を一括処理できるツール群。,,,,
デスクトップ,マルチメディア,Inkscape,https://inkscape.org/ja/,SVGを標準形式とするベクターグラフィックス編集ソフト。,,,,
デスクトップ,マルチメディア,Krita,https://krita.org/jp/,デジタルペイントとイラスト制作に特化した描画ソフト。,,,,
デスクトップ,マルチメディア,OBS Studio,https://obsproject.com/ja,画面録画とライブ配信のための定番ストリーミングソフト。,,,,
デスクトップ,マルチメディア,openshot,http://www.openshot.org/,直感的に扱えるクロスプラットフォームの動画編集ソフト。,,,,
デスクトップ,マルチメディア,VLC media player,https://code.videolan.org/explore/projects/starred,ほぼ全ての動画・音声形式を再生できるマルチメディアプレイヤー。,,,,
デスクトップ,マルチメディア,SimpleScreenRecorder,https://github.com/blankon-packages/simplescreenrecorder,Linux向けの軽量で設定しやすい画面録画ツール。,,https://github.com/blankon-packages/simplescreenrecorder,,
デスクトップ,マルチメディア,Kdenlive,https://github.com/KDE/kdenlive,KDEプロジェクトによる多機能なノンリニア動画編集ソフト。,,https://github.com/KDE/kdenlive,,
デスクトップ,マルチメディア,Shotcut,https://github.com/mltframework/shotcut,MLTフレームワークを基盤とするクロスプラットフォーム動画編集ソフト。,,https://github.com/mltframework/shotcut,,
デスクトップ,マルチメディア,Kodi,https://github.com/xbmc/xbmc,テレビ画面での視聴に適したメディアセンター／ホームシアターソフト。,,https://github.com/xbmc/xbmc,,
デスクトップ,IME,Fcitx5,https://fcitx-im.org/wiki/Fcitx_5,多言語入力に対応した拡張性の高い入力メソッドフレームワーク。,,,,
デスクトップ,IME,IBus,https://github.com/ibus/ibus,Linuxデスクトップ標準として広く使われる入力メソッドフレームワーク。,,https://github.com/ibus/ibus,,
デスクトップ,IME,Mozc,https://github.com/google/mozc,Google日本語入力のオープンソース版となる日本語入力エンジン。,,https://github.com/google/mozc,,
デスクトップ,IME,uim,https://github.com/uim/uim,軽量でシンプルな構成の多言語入力メソッドライブラリ。,,https://github.com/uim/uim,,
ビッグデータ,クローラ,Apache ManifoldCF,https://manifoldcf.apache.org/,各種リポジトリのコンテンツを検索エンジンへ取り込むクローラ／コネクタ基盤。,,,,
ビッグデータ,クローラ,Apache Nutch,http://nutch.apache.org/,大規模Webクロールに対応した拡張性の高いクローラ。,,,,
ビッグデータ,データ収集,Apache NiFi,https://nifi.apache.org/,GUIでデータの取り込み・変換・配送フローを設計するデータフロー基盤。,,,,
ビッグデータ,データ分析,Apache Zeppelin,https://zeppelin.apache.org/,SQLやSparkを対話的に実行できるWebベースのノートブック。,,,,
ビッグデータ,データ分析,Jupyter Notebook,https://jupyter.org/,コード・可視化・文書を一体で扱うデータ分析用ノートブック環境。,,,,
ビッグデータ,データ分析,KNIME,https://www.knime.com/,GUIのノード接続でデータ分析ワークフローを組み立てる分析プラットフォーム。,,,,
ビッグデータ,データ分析,R,https://www.r-project.org/,統計解析とデータ可視化に特化したプログラミング言語と実行環境。,,,,
ビッグデータ,ストリーム処理,Apache Flink,https://flink.apache.org/,低遅延かつ厳密一度処理に対応したストリーム処理エンジン。,,,,
ビッグデータ,ストリーム処理,Apache Storm,http://storm.apache.org/,リアルタイムのストリームデータ処理を行う分散計算システム。,,,,
ビッグデータ,テーブルフォーマット,Apache hudi,https://hudi.apache.org/,データレイク上で更新と差分取り込みを可能にするテーブルフォーマット。,,,,
ビッグデータ,分散ストレージ,Ceph,https://ceph.io/,オブジェクト・ブロック・ファイルを単一基盤で提供する分散ストレージ。,,,,
ビッグデータ,分散ストレージ,GlusterFS,https://www.gluster.org/,スケールアウト型の分散ファイルシステム。,,,,
ビッグデータ,分散ストレージ,Lustre,http://lustre.org/,HPC分野で使われる超高性能な並列分散ファイルシステム。,,,,
ビッグデータ,ワークフロー・スケジューラ,Apache Airflow,https://airflow.apache.org/,Pythonでデータパイプラインを定義・スケジュール実行するワークフロー基盤。,,,,
ビッグデータ,ワークフロー・スケジューラ,Dagster,https://dagster.io/,資産（アセット）中心の考え方でデータパイプラインを構築するオーケストレータ。,,,,
ビッグデータ,ワークフロー・スケジューラ,prefect,https://www.prefect.io/,Pythonコードをそのままワークフロー化できるデータオーケストレーション基盤。,,,,
ビッグデータ,メッセージング,Apache ActiveMQ,http://activemq.apache.org/,JMSに対応した実績の長いオープンソースメッセージブローカ。,,,,
ビッグデータ,メッセージング,Apache Kafka,https://kafka.apache.org/,高スループットな分散イベントストリーミングプラットフォーム。,,,,
ビッグデータ,メッセージング,NATS,https://nats.io/,軽量・低遅延を特徴とするクラウドネイティブなメッセージングシステム。,,,,
ビッグデータ,メッセージング,RabbitMQ,https://www.rabbitmq.com/,AMQPを中心に多様なプロトコルへ対応するメッセージブローカ。,,,,
ビッグデータ,分散処理,Apache Hadoop,https://hadoop.apache.org/,HDFSとMapReduceを核とする大規模分散処理フレームワーク。,,,,
ビッグデータ,分散処理,Apache Spark,https://spark.apache.org/,インメモリ処理により高速なバッチ・ストリーム分散処理を行う基盤。,,,,
ビッグデータ,検索エンジン,Apache Lucene,https://lucene.apache.org/,全文検索エンジンの中核となるJava製検索ライブラリ。,,,,
ビッグデータ,検索エンジン,Apache Solr,https://solr.apache.org/,Luceneを基盤とするエンタープライズ向け全文検索サーバ。,,,,
ビッグデータ,検索エンジン,OpenSearch,https://opensearch.org/,Elasticsearchから派生した検索・分析・可観測性のためのエンジン。,,,,
ビッグデータ,SQLクエリエンジン,Apache Drill,https://drill.apache.org/,スキーマ定義なしで多様なデータソースへSQLを実行するクエリエンジン。,,,,
